,true,pred,count_errors,mean_margin,aupnn_logit,aupnn_prob,mc_prob,mc_logit,mc_prob_top1,mc_logit_top1,aupnn_prob_top1,aupnn_logit_top1,mc_prob_top1_true,mc_logit_top1_true,aupnn_prob_top1_true,aupnn_logit_top1_true
41,5,6,8,1.6144532561302185,0.017252672230824787,0.0017451157809772876,0.0015463000227100183,0.015454773791134312,0.001114391481678429,0.005167498253285838,0.001245156802724477,0.0060572541551664,0.0007521722873206876,0.004524975214735563,0.0009003320596718434,0.005307505838572925
68,9,3,8,1.0334661602973938,0.018619029317051138,0.0021844301081727626,0.001906819692521775,0.01686038961634036,0.00137038539105555,0.005919893621467012,0.00159823671856425,0.005962808209005676,0.0010928793899438,0.006000221066642513,0.001116894278311477,0.005873194313608063
70,9,5,8,0.8002118766307831,0.018713340861722775,0.002416897899820425,0.0017958911048480625,0.016483705374412187,0.0012533969129435375,0.005060515046352475,0.0017125357553595376,0.006351425603497725,0.00087172081020977,0.0054368032724596005,0.0010878871435124374,0.00583867228124285
0,0,2,7,0.858771800994873,0.017405625964913997,0.0022713706462776716,0.0019226915735218715,0.015659056870000673,0.0013578056324539,0.004860215654064457,0.0015957926516420571,0.005536612522389157,0.001155888873784357,0.0050151519743459,0.0013681114609685285,0.006154299048440744
31,4,2,7,2.6231331825256348,0.0178181672734873,0.0010998637631668285,0.0009222234408038094,0.01670888971005163,0.0006952757383779641,0.005307446699589442,0.0008325955506214092,0.005685015182409914,0.00038170222911604676,0.006625119729765772,0.0003718832049054198,0.006417448166757772
45,6,0,6,2.295128266016642,0.016994720480094285,0.0012306998687563002,0.0009678511875487165,0.01430776047830777,0.0007086200397073165,0.0054194380063562995,0.0009078955384514,0.006209263810887883,0.0005868932160713253,0.005236096175697883,0.0007315428562529898,0.005814209968472466
20,3,0,6,0.9603414535522461,0.016790419816970797,0.0020855805099320502,0.002024527241398217,0.015486768446862649,0.0014490291456846667,0.004401005920953984,0.0015079602405117835,0.00545009931859865,0.0010549468036818333,0.005660628511880767,0.0010533429012866166,0.0058460546812663
53,7,1,6,2.0360679626464844,0.017608689454694532,0.00161263296771109,0.0016028387029412153,0.015587840694934097,0.0010354879538377866,0.004609096562489833,0.0011392040111483086,0.005665819393470834,0.0010171708214935426,0.006022028236960317,0.0009796046130455772,0.006230403436347783
11,1,8,6,0.8983004093170166,0.0170281810375551,0.0018280379008501334,0.0019013715015413332,0.014847035985439952,0.0013398490458105502,0.004530899925157351,0.0012597166448055,0.004372182379787134,0.0013121538407479165,0.004259438797210617,0.0012683822133112332,0.00539429788477715
57,8,0,6,1.6561973889668782,0.018640364209810852,0.0017651664432680834,0.0014644652377076332,0.017502387209484934,0.0010306932199455,0.0047320486822475675,0.0012758937640076334,0.006244844524189767,0.0007413430527473177,0.0050601990272601,0.0008596379533021744,0.005180581860865101
62,8,5,5,0.7403717994689941,0.018947824835777217,0.00228350483812386,0.00208496151026332,0.01731695830821988,0.00146085701417172,0.005279153585433899,0.00160076303873204,0.0063512099906801785,0.0013454596861265,0.00511846286244684,0.00144389530178156,0.0046990823000668995
21,3,1,5,1.253385353088379,0.01737032793462272,0.00217134989798064,0.0016344199888407803,0.014048769138753381,0.00120802022283892,0.00469228988513346,0.0016047343611716599,0.00646460829302666,0.00088420833926644,0.00492304060608146,0.00115907614817838,0.00602851612493392
63,8,6,5,1.7362850189208985,0.017836009338498084,0.0015780449612065601,0.00132988196564832,0.01691581699997182,0.00098615751485336,0.005993677303194939,0.0011560373182873999,0.006370045244693699,0.0007489093637559,0.0053726737387477606,0.00091201286413702,0.0049434346146881
67,9,2,5,0.673852014541626,0.01671426966786376,0.00214660735800856,0.0018756519537418402,0.015058957785367921,0.0013064036029390598,0.00424692123197014,0.00146923703141506,0.004894653800874881,0.0005045551004513751,0.0046965127345174,0.0005912984340284154,0.0052500987425445995
60,8,3,5,1.7961477279663085,0.018549460731446678,0.001740943934419145,0.0014372459321748076,0.01660500317811958,0.0010151692058570532,0.00632392680272454,0.001251733951357871,0.006205807626247379,0.0008848406741492072,0.00517655285075302,0.0011032983710947122,0.00525979213416572
55,7,8,5,1.465037965774536,0.017638387903571077,0.0016426574497017399,0.00123482293274714,0.01571598295122382,0.0008353268727659599,0.0048833573237061,0.0011372016568202002,0.0049458255991339005,0.0004146093619055623,0.00524772554635998,0.0004085335145645913,0.00615608179941768
14,2,1,4,2.1626652479171753,0.01625026902183885,0.00137061416535285,0.0009231366875609999,0.013750990154221626,0.0006614623471249989,0.00470014975871885,0.00099663091532415,0.005868866806849775,0.0005936018519605323,0.0048578493297099495,0.0008712390105642767,0.005349649465642825
29,4,0,4,2.716378927230835,0.014923226553946699,0.0014175436077720803,0.0013178991368931483,0.014309470076113875,0.0009875030597185882,0.0052432497031986245,0.0010306332800950752,0.005215093609876874,0.0007166520222820557,0.0052590555278584005,0.0007241154929164727,0.004983268096111675
2,0,6,4,1.3328348994255066,0.017326531466096598,0.0019259690016041752,0.0015491313533857,0.0155176015105098,0.00106298216269345,0.0054843428661115,0.0013715718087041,0.006090433569624974,0.000993891197140275,0.00455174263333895,0.001212668212247,0.005920942989177975
47,6,2,4,1.2341251373291016,0.018231318797916125,0.001976646861294225,0.001741185653372625,0.01556030544452365,0.0012863593292421998,0.005142006673850076,0.0014195720286806748,0.005909138591960026,0.00089960357945525,0.006089868256822201,0.0010616436920827,0.00635374605190005
64,8,7,3,1.9073975880940754,0.017518482170998998,0.0014666969752094,0.0014711814001202,0.0152022518838445,0.0011042540427297,0.0061420079631109336,0.0010941583216966,0.006474507506936733,0.00022875551197403562,0.004455261010055667,0.00023073564686148777,0.004668435547500799
16,2,4,3,1.9336919784545898,0.016748290508985467,0.0013380275146725,0.0013331558050898,0.0146622595687707,0.0009878313867374667,0.0061454423703253,0.0009838278832224,0.0062048720816771,0.0008880628738551667,0.004578627956410233,0.0008971525239757999,0.004913445562124233
38,5,2,3,0.9760274887084961,0.0173601644734541,0.0019801206265886336,0.0018473773961886,0.014961742175122033,0.0013516515609808,0.004954164847731533,0.0013915261758180666,0.005746586869160267,0.0008860105196314246,0.005393324575076433,0.0009394205635544101,0.005247060054292233
40,5,4,3,0.958212693532308,0.019697216028968432,0.001977019535843233,0.0016723418569502331,0.01619116030633443,0.0009932057000696,0.006420117802917899,0.0012457479412356666,0.006899970894058499,0.0009735299584766001,0.005381719830135467,0.0010636317504879667,0.0060381554067134675
28,3,9,3,0.7620062828063965,0.020061980932950932,0.002580320540194667,0.0021186669279510003,0.0188144631683826,0.0015174782990167333,0.006121200975030633,0.0018516483639055999,0.006123721133917533,0.0009882676483053668,0.007182269822806067,0.0011132590977164,0.006703828461468167
56,7,9,3,0.8939808209737142,0.0193867540607849,0.0024925925924131668,0.0030844988844667665,0.017312925308942767,0.002176725305616833,0.0064140384395916334,0.0017770551688347663,0.0060234083794056675,0.0021022512228227666,0.007114840205758734,0.0016580233932472332,0.006954731885343734
49,6,5,3,3.24463152885437,0.01668270677328103,0.0005342756776371666,0.0005304353010918,0.0151073755696415,0.00039987881609696664,0.005087820968280167,0.0004049893177579333,0.005450437466303467,1.0437134051244357e-05,0.005430325244863767,9.227765625989074e-06,0.005529097902278034
58,8,1,3,2.062287966410319,0.0179408335437377,0.0011455054045654,0.0011689902748912,0.017275215437014834,0.0008751316927372998,0.0057468246668576665,0.0008772255581182333,0.0059649840307731995,0.0007175006321630999,0.004049531416967467,0.0006756570655852,0.004348721355199766
10,1,7,3,1.8489014307657878,0.01704393451412513,0.0016810788171520666,0.0013802550286830335,0.014055691969891334,0.0009797654007948665,0.0052922245425482,0.0011909665093601334,0.0064357114024459665,0.0004349816324425337,0.0038336892612277997,0.00043016541323478465,0.0051006359669069
46,6,1,3,3.03633451461792,0.017539329826831766,0.0006231893300233667,0.0005667860871956333,0.014944853571553932,0.00043804343537576663,0.00421202989916,0.00048247499701870006,0.005876798337946266,0.00012586247885336906,0.0056832289944092,0.00014814862970521556,0.005702322038511366
52,7,0,3,0.5580946604410807,0.014586765319108899,0.0021166246539602337,0.0015184736112132332,0.012829050421714732,0.0009001299622468333,0.0039773769676684665,0.0014330325648188333,0.004810051371653833,0.0005070627448730515,0.004225440168132333,0.0006790301049477,0.0053064613603055
61,8,4,2,2.046156167984009,0.01864365488290785,0.0016032956336857,0.0011991430801572,0.0170830655843019,0.0008815419860183501,0.00602167425677175,0.00116125222120895,0.0067829235922545,0.0008039283638936,0.00569179817102845,0.0010930463613476,0.00494682416319845
